backend,controller,experiment_id,jain,mean_wait_disparity,ped_max_wait_s,ped_mean_wait_s,ped_p95_wait_s,ped_service_ratio,ped_throughput_h,phase_switches,requested_p,requested_v,run_id,safety_violations,scenario_id,seed,served_p,served_v,starvation_violations,tail_wait_disparity,veh_max_wait_s,veh_mean_wait_s,veh_p95_wait_s,veh_service_ratio,veh_throughput_h,wall_time_s
surrogate,efpb,ablations,0.9999953685716416,0.0230941768511862,36.0,8.169230769230769,24.0,1.0,455.0,415,455,1397,ablations__A1_efficiency_only__efpb__3007,0,A1_efficiency_only,3007,455,1391,0,0.06,37.0,5.859813084112149,18.0,0.9957050823192556,1391.0,41.85737565999989
surrogate,efpb,ablations,0.9999983143919835,0.025095716343515637,48.0,8.138832997987928,22.0,0.9959919839679359,497.0,412,499,1410,ablations__A1_efficiency_only__efpb__3008,0,A1_efficiency_only,3008,497,1408,0,0.04000000000000001,32.0,5.629261363636363,18.0,0.9985815602836879,1408.0,44.069378815000164
surrogate,efpb,ablations,0.9999994941413987,0.03331748315287348,39.0,9.37872340425532,24.0,1.0,470.0,416,470,1407,ablations__A1_efficiency_only__efpb__3009,0,A1_efficiency_only,3009,470,1405,0,0.04999999999999999,31.0,6.046975088967971,19.0,0.9985785358919688,1405.0,41.677708473000166
surrogate,efpb,ablations,0.9999956233450773,0.023088161629654366,45.0,8.252212389380531,23.0,1.0,452.0,415,452,1437,ablations__A1_efficiency_only__efpb__3010,0,A1_efficiency_only,3010,452,1431,0,0.04000000000000001,32.0,5.943396226415095,19.0,0.9958246346555324,1431.0,45.16826538700025
surrogate,efficiency,ablations,0.9999952327604702,0.015290044753460047,39.0,7.8512035010940915,21.0,0.9956427015250545,457.0,418,459,1437,ablations__A2_no_starvation__efficiency__3001,0,A2_no_starvation,3001,457,1437,0,0.01999999999999999,54.0,6.322199025748087,19.0,1.0,1437.0,0.8248038029996678
surrogate,efficiency,ablations,0.9999979908836346,0.017539466162107983,63.0,7.86892177589852,20.0,1.0,473.0,417,473,1413,ablations__A2_no_starvation__efficiency__3002,0,A2_no_starvation,3002,473,1409,0,0.010000000000000009,40.0,6.114975159687722,19.0,0.997169143665959,1409.0,0.8217847779997101
surrogate,efficiency,ablations,0.999999408032119,0.018928095670602482,58.0,8.344444444444445,25.0,0.9977827050997783,450.0,415,451,1469,ablations__A2_no_starvation__efficiency__3003,0,A2_no_starvation,3003,450,1468,0,0.06,56.0,6.451634877384196,19.0,0.9993192648059904,1468.0,0.8161433289997149
surrogate,efficiency,ablations,0.9999998806828664,0.017615316956712937,45.0,8.172727272727272,24.0,1.0,440.0,417,440,1448,ablations__A2_no_starvation__efficiency__3004,0,A2_no_starvation,3004,440,1447,0,0.03999999999999998,54.0,6.411195577055978,20.0,0.9993093922651933,1447.0,0.8261035449995688
surrogate,efficiency,ablations,0.9999949106333175,0.011612779581529578,41.0,7.703125,20.0,0.9933481152993349,448.0,417,451,1389,ablations__A2_no_starvation__efficiency__3005,0,A2_no_starvation,3005,448,1386,0,0.0,42.0,6.541847041847042,20.0,0.9978401727861771,1386.0,1.0697230790001413
surrogate,efficiency,ablations,0.9999879287770227,0.010653528456837286,68.0,7.649159663865547,20.0,0.9916666666666667,476.0,419,480,1410,ablations__A2_no_starvation__efficiency__3006,0,A2_no_starvation,3006,476,1408,0,0.010000000000000009,48.0,6.583806818181818,19.0,0.9985815602836879,1408.0,1.1298971449996316
surrogate,efficiency,ablations,0.9999994493289286,0.01402553551367658,46.0,7.704845814977974,20.0,0.9978021978021978,454.0,418,455,1397,ablations__A2_no_starvation__efficiency__3007,0,A2_no_starvation,3007,454,1396,0,0.010000000000000009,59.0,6.302292263610315,19.0,0.9992841803865425,1396.0,1.0831721739996283
surrogate,efficiency,ablations,0.9999983143919835,0.012482751623376614,34.0,7.571428571428571,20.0,0.9959919839679359,497.0,416,499,1410,ablations__A2_no_starvation__efficiency__3008,0,A2_no_starvation,3008,497,1408,0,0.010000000000000009,44.0,6.323153409090909,19.0,0.9985815602836879,1408.0,1.127381642999353
surrogate,efficiency,ablations,0.9999994941413987,0.013488150223366413,40.0,7.782978723404256,23.0,1.0,470.0,418,470,1407,ablations__A2_no_starvation__efficiency__3009,0,A2_no_starvation,3009,470,1405,0,0.04000000000000001,53.0,6.434163701067615,19.0,0.9985785358919688,1405.0,0.8216195120003249
surrogate,efficiency,ablations,0.9999969627706141,0.011700140900776188,41.0,7.4402654867256635,20.0,1.0,452.0,419,452,1437,ablations__A2_no_starvation__efficiency__3010,0,A2_no_starvation,3010,452,1432,0,0.010000000000000009,40.0,6.270251396648045,19.0,0.9965205288796103,1432.0,0.8282760249994681
surrogate,efpb,ablations,0.9999952327604702,0.02774964253573501,49.0,8.87308533916849,24.0,0.9956427015250545,457.0,415,459,1437,ablations__A2_no_starvation__efpb__3001,0,A2_no_starvation,3001,457,1437,0,0.04999999999999999,38.0,6.09812108559499,19.0,1.0,1437.0,31.639659555000435
surrogate,efpb,ablations,0.9999994984313438,0.022573857174750495,39.0,8.103594080338267,22.0,1.0,473.0,415,473,1413,ablations__A2_no_starvation__efpb__3002,0,A2_no_starvation,3002,473,1411,0,0.03,41.0,5.8462083628632175,19.0,0.9985845718329794,1411.0,32.412203666000096
surrogate,efpb,ablations,0.999999408032119,0.031096366939146226,43.0,9.126666666666667,28.0,0.9977827050997783,450.0,414,451,1469,ablations__A2_no_starvation__efpb__3003,0,A2_no_starvation,3003,450,1468,0,0.09000000000000002,42.0,6.017029972752043,19.0,0.9993192648059904,1468.0,42.803365727999335
surrogate,efpb,ablations,0.9999998005736892,0.03180045810136832,39.0,9.056947608200456,27.0,0.9977272727272727,439.0,415,440,1448,ablations__A2_no_starvation__efpb__3004,0,A2_no_starvation,3004,439,1446,0,0.09000000000000002,35.0,5.876901798063624,18.0,0.9986187845303868,1446.0,44.24310007999975
surrogate,efpb,ablations,0.9999993911889988,0.029578493724522203,50.0,8.779510022271715,25.0,0.9955654101995566,449.0,415,451,1389,ablations__A2_no_starvation__efpb__3005,0,A2_no_starvation,3005,449,1385,0,0.06,31.0,5.821660649819495,19.0,0.9971202303815695,1385.0,41.9048491829999
surrogate,efpb,ablations,0.9999688689228315,0.023330756137322592,41.0,8.50210970464135,24.0,0.9875,474.0,415,480,1410,ablations__A2_no_starvation__efpb__3006,0,A2_no_starvation,3006,474,1408,0,0.04999999999999999,31.0,6.169034090909091,19.0,0.9985815602836879,1408.0,43.37322354800017
surrogate,efpb,ablations,0.9999953685716416,0.0230941768511862,36.0,8.169230769230769,24.0,1.0,455.0,415,455,1397,ablations__A2_no_starvation__efpb__3007,0,A2_no_starvation,3007,455,1391,0,0.06,37.0,5.859813084112149,18.0,0.9957050823192556,1391.0,31.148700306000137
surrogate,efpb,ablations,0.9999983143919835,0.025095716343515637,48.0,8.138832997987928,22.0,0.9959919839679359,497.0,412,499,1410,ablations__A2_no_starvation__efpb__3008,0,A2_no_starvation,3008,497,1408,0,0.04000000000000001,32.0,5.629261363636363,18.0,0.9985815602836879,1408.0,32.018573114999526
surrogate,efpb,ablations,0.9999994941413987,0.03331748315287348,39.0,9.37872340425532,24.0,1.0,470.0,416,470,1407,ablations__A2_no_starvation__efpb__3009,0,A2_no_starvation,3009,470,1405,0,0.04999999999999999,31.0,6.046975088967971,19.0,0.9985785358919688,1405.0,31.696545730999787
surrogate,efpb,ablations,0.9999956233450773,0.023088161629654366,45.0,8.252212389380531,23.0,1.0,452.0,415,452,1437,ablations__A2_no_starvation__efpb__3010,0,A2_no_starvation,3010,452,1431,0,0.04000000000000001,32.0,5.943396226415095,19.0,0.9958246346555324,1431.0,33.80873300900021
surrogate,efficiency,ablations,0.9999952327604702,0.015290044753460047,39.0,7.8512035010940915,21.0,0.9956427015250545,457.0,418,459,1437,ablations__A3_no_efficiency_filter__efficiency__3001,0,A3_no_efficiency_filter,3001,457,1437,0,0.01999999999999999,54.0,6.322199025748087,19.0,1.0,1437.0,1.0563787760002015
surrogate,efficiency,ablations,0.9999979908836346,0.017539466162107983,63.0,7.86892177589852,20.0,1.0,473.0,417,473,1413,ablations__A3_no_efficiency_filter__efficiency__3002,0,A3_no_efficiency_filter,3002,473,1409,0,0.010000000000000009,40.0,6.114975159687722,19.0,0.997169143665959,1409.0,1.1075274520007952
surrogate,efficiency,ablations,0.999999408032119,0.018928095670602482,58.0,8.344444444444445,25.0,0.9977827050997783,450.0,415,451,1469,ablations__A3_no_efficiency_filter__efficiency__3003,0,A3_no_efficiency_filter,3003,450,1468,0,0.06,56.0,6.451634877384196,19.0,0.9993192648059904,1468.0,1.1224828360000174
surrogate,efficiency,ablations,0.9999998806828664,0.017615316956712937,45.0,8.172727272727272,24.0,1.0,440.0,417,440,1448,ablations__A3_no_efficiency_filter__efficiency__3004,0,A3_no_efficiency_filter,3004,440,1447,0,0.03999999999999998,54.0,6.411195577055978,20.0,0.9993093922651933,1447.0,1.0800785560004442
surrogate,efficiency,ablations,0.9999949106333175,0.011612779581529578,41.0,7.703125,20.0,0.9933481152993349,448.0,417,451,1389,ablations__A3_no_efficiency_filter__efficiency__3005,0,A3_no_efficiency_filter,3005,448,1386,0,0.0,42.0,6.541847041847042,20.0,0.9978401727861771,1386.0,0.8374552939994828
surrogate,efficiency,ablations,0.9999879287770227,0.010653528456837286,68.0,7.649159663865547,20.0,0.9916666666666667,476.0,419,480,1410,ablations__A3_no_efficiency_filter__efficiency__3006,0,A3_no_efficiency_filter,3006,476,1408,0,0.010000000000000009,48.0,6.583806818181818,19.0,0.9985815602836879,1408.0,0.8182315699996252
surrogate,efficiency,ablations,0.9999994493289286,0.01402553551367658,46.0,7.704845814977974,20.0,0.9978021978021978,454.0,418,455,1397,ablations__A3_no_efficiency_filter__efficiency__3007,0,A3_no_efficiency_filter,3007,454,1396,0,0.010000000000000009,59.0,6.302292263610315,19.0,0.9992841803865425,1396.0,0.8394074070001807
surrogate,efficiency,ablations,0.9999983143919835,0.012482751623376614,34.0,7.571428571428571,20.0,0.9959919839679359,497.0,416,499,1410,ablations__A3_no_efficiency_filter__efficiency__3008,0,A3_no_efficiency_filter,3008,497,1408,0,0.010000000000000009,44.0,6.323153409090909,19.0,0.9985815602836879,1408.0,0.8562536789995647
surrogate,efficiency,ablations,0.9999994941413987,0.013488150223366413,40.0,7.782978723404256,23.0,1.0,470.0,418,470,1407,ablations__A3_no_efficiency_filter__efficiency__3009,0,A3_no_efficiency_filter,3009,470,1405,0,0.04000000000000001,53.0,6.434163701067615,19.0,0.9985785358919688,1405.0,1.1160141710006428
surrogate,efficiency,ablations,0.9999969627706141,0.011700140900776188,41.0,7.4402654867256635,20.0,1.0,452.0,419,452,1437,ablations__A3_no_efficiency_filter__efficiency__3010,0,A3_no_efficiency_filter,3010,452,1432,0,0.010000000000000009,40.0,6.270251396648045,19.0,0.9965205288796103,1432.0,1.141910647000259
surrogate,efpb,ablations,0.9999952327604702,0.02774964253573501,49.0,8.87308533916849,24.0,0.9956427015250545,457.0,415,459,1437,ablations__A3_no_efficiency_filter__efpb__3001,0,A3_no_efficiency_filter,3001,457,1437,0,0.04999999999999999,38.0,6.09812108559499,19.0,1.0,1437.0,42.08222799899977
surrogate,efpb,ablations,0.9999994984313438,0.022573857174750495,39.0,8.103594080338267,22.0,1.0,473.0,415,473,1413,ablations__A3_no_efficiency_filter__efpb__3002,0,A3_no_efficiency_filter,3002,473,1411,0,0.03,41.0,5.8462083628632175,19.0,0.9985845718329794,1411.0,39.91392559399992
surrogate,efpb,ablations,0.999999408032119,0.031096366939146226,43.0,9.126666666666667,28.0,0.9977827050997783,450.0,414,451,1469,ablations__A3_no_efficiency_filter__efpb__3003,0,A3_no_efficiency_filter,3003,450,1468,0,0.09000000000000002,42.0,6.017029972752043,19.0,0.9993192648059904,1468.0,31.98270282699923
surrogate,efpb,ablations,0.9999998005736892,0.03180045810136832,39.0,9.056947608200456,27.0,0.9977272727272727,439.0,415,440,1448,ablations__A3_no_efficiency_filter__efpb__3004,0,A3_no_efficiency_filter,3004,439,1446,0,0.09000000000000002,35.0,5.876901798063624,18.0,0.9986187845303868,1446.0,32.154643137000676
surrogate,efpb,ablations,0.9999993911889988,0.029578493724522203,50.0,8.779510022271715,25.0,0.9955654101995566,449.0,415,451,1389,ablations__A3_no_efficiency_filter__efpb__3005,0,A3_no_efficiency_filter,3005,449,1385,0,0.06,31.0,5.821660649819495,19.0,0.9971202303815695,1385.0,30.78114463899965
surrogate,efpb,ablations,0.9999688689228315,0.023330756137322592,41.0,8.50210970464135,24.0,0.9875,474.0,415,480,1410,ablations__A3_no_efficiency_filter__efpb__3006,0,A3_no_efficiency_filter,3006,474,1408,0,0.04999999999999999,31.0,6.169034090909091,19.0,0.9985815602836879,1408.0,29.641823201999614
surrogate,efpb,ablations,0.9999953685716416,0.0230941768511862,36.0,8.169230769230769,24.0,1.0,455.0,415,455,1397,ablations__A3_no_efficiency_filter__efpb__3007,0,A3_no_efficiency_filter,3007,455,1391,0,0.06,37.0,5.859813084112149,18.0,0.9957050823192556,1391.0,41.58883909300039
