clearance_share,collisions,config_id,controller,emergency_stops,max_norm_wait,mean_vehicle_queue,pedestrian_wait_mean_s,person_delay_s,phase_switches,scenario_id,seed,vehicle_stop_time_mean_s,vehicle_stopped_wait_p95_s
0.17555555555555555,0.0,efficiency__000,efficiency,0.0,0.85,38.361111111111114,36.60948905109489,54.16328952172326,72.0,K_OO,305,60.017405063291136,54.0
0.19333333333333333,0.0,efficiency__000,efficiency,0.0,0.59,17.334444444444443,29.25777777777778,29.016575702445927,71.0,K_SS,301,28.94557823129252,19.0
0.2,0.0,efficiency__000,efficiency,0.0,0.59,17.423333333333332,28.34562211981567,29.18420240666461,71.0,K_SS,302,29.42512908777969,21.0
0.19666666666666666,0.0,efficiency__000,efficiency,0.0,0.69,19.58,31.18695652173913,33.41187996287512,72.0,K_SS,303,34.10369068541301,22.0
0.1988888888888889,0.0,efficiency__000,efficiency,0.0,0.77,16.8,32.46478873239437,29.000917150718436,71.0,K_SS,304,28.04060913705584,19.0
0.20555555555555555,0.0,efficiency__000,efficiency,0.0,0.67,15.636666666666667,25.71212121212121,25.795990078544854,71.0,K_SS,305,25.81756756756757,19.0
0.18444444444444444,0.0,efficiency__000,efficiency,0.0,0.39,3.128888888888889,10.303225806451612,8.290016079520539,74.0,K_XX,301,7.7002457002457,20.0
0.19111111111111112,0.0,efficiency__000,efficiency,0.0,0.55,3.473333333333333,12.590909090909092,9.424024640657084,73.0,K_XX,302,8.5,20.0
0.19,0.0,efficiency__000,efficiency,0.0,0.37,3.296666666666667,11.04516129032258,8.824879403595965,73.0,K_XX,303,8.174447174447174,20.0
0.19,0.0,efficiency__000,efficiency,0.0,0.32,3.192222222222222,11.6,8.709145880574452,73.0,K_XX,304,7.9679012345679014,20.0
0.19666666666666666,0.0,efficiency__000,efficiency,0.0,0.51,3.011111111111111,11.086614173228346,8.26313378130727,73.0,K_XX,305,7.583743842364532,20.0
0.19,0.0,efficiency__001,efficiency,0.0,0.4,2.7511111111111113,12.691666666666666,9.55979401106237,73.0,K_HH,301,8.630225080385852,21.0
0.19777777777777777,0.0,efficiency__001,efficiency,0.0,0.53,2.4844444444444442,13.207207207207206,9.147276264591442,72.0,K_HH,302,8.029032258064516,18.0
0.18333333333333332,0.0,efficiency__001,efficiency,0.0,0.39,2.7622222222222224,10.587719298245615,9.201719197707737,74.0,K_HH,303,8.815873015873017,20.0
0.18444444444444444,0.0,efficiency__001,efficiency,0.0,0.43,2.723333333333333,10.71,9.03985006904715,74.0,K_HH,304,8.629392971246006,21.0
0.18444444444444444,0.0,efficiency__001,efficiency,0.0,0.35,2.7422222222222223,9.835164835164836,8.86508256141764,73.0,K_HH,305,8.647435897435898,21.0
0.11,0.0,efficiency__001,efficiency,0.0,0.29,0.5555555555555556,4.703389830508475,5.247989843419382,61.0,K_HL,301,5.791208791208791,16.0
0.11666666666666667,0.0,efficiency__001,efficiency,0.0,0.26,0.47555555555555556,4.342342342342342,4.804030874785592,60.0,K_HL,302,5.223404255319149,15.0
0.11,0.0,efficiency__001,efficiency,0.0,0.24,0.4811111111111111,4.072727272727272,4.575996495838807,61.0,K_HL,303,5.043956043956044,16.0
0.12111111111111111,0.0,efficiency__001,efficiency,0.0,0.31,0.43555555555555553,4.16,4.398451730418943,64.0,K_HL,304,4.5978260869565215,17.0
0.11222222222222222,0.0,efficiency__001,efficiency,0.0,0.27,0.5588888888888889,4.461538461538462,5.2426400759734095,62.0,K_HL,305,5.836956521739131,14.0
0.2111111111111111,0.0,efficiency__001,efficiency,0.0,0.54,2.267777777777778,17.903225806451612,7.9855272226051,71.0,K_LH,301,7.22508038585209,20.0
0.21777777777777776,0.0,efficiency__001,efficiency,0.0,0.54,2.152222222222222,14.366666666666667,7.626328884867678,70.0,K_LH,302,7.135646687697161,17.0
0.21777777777777776,0.0,efficiency__001,efficiency,0.0,0.52,1.8866666666666667,12.481481481481481,6.708542713567839,70.0,K_LH,303,6.329113924050633,14.0
0.21666666666666667,0.0,efficiency__001,efficiency,0.0,0.35,1.8466666666666667,16.65,6.441443538998835,70.0,K_LH,304,5.942857142857143,18.0
0.22,0.0,efficiency__001,efficiency,0.0,0.43,1.7966666666666666,14.608695652173912,6.416226154906918,70.0,K_LH,305,5.958990536277603,18.0
0.17222222222222222,0.0,efficiency__001,efficiency,0.0,0.27,1.5455555555555556,8.383561643835616,7.406268480189238,74.0,K_MM,301,7.137254901960785,16.0
0.17222222222222222,0.0,efficiency__001,efficiency,0.0,0.27,1.3755555555555556,7.0,6.568222621184919,74.0,K_MM,302,6.455882352941177,17.0
0.17222222222222222,0.0,efficiency__001,efficiency,0.0,0.38,1.5433333333333332,8.416666666666666,7.456702253855278,74.0,K_MM,303,7.196078431372549,16.0
0.17333333333333334,0.0,efficiency__001,efficiency,0.0,0.3,1.6944444444444444,9.548387096774194,8.238723534826635,74.0,K_MM,304,7.931034482758621,17.0
0.17777777777777778,0.0,efficiency__001,efficiency,0.0,0.27,1.3933333333333333,6.384615384615385,6.5015762925599,74.0,K_MM,305,6.5245098039215685,15.0
0.17777777777777778,0.0,efficiency__001,efficiency,0.0,0.79,30.304444444444446,55.86779661016949,51.3955885011752,74.0,K_OO,301,49.76923076923077,23.0
0.1811111111111111,0.0,efficiency__001,efficiency,0.0,0.81,32.12222222222222,55.33101045296167,53.177950594693506,73.0,K_OO,302,52.41129032258065,23.0
0.1688888888888889,0.0,efficiency__001,efficiency,0.0,0.77,30.416666666666668,52.99342105263158,50.58275457743303,74.0,K_OO,303,49.67205169628433,24.0
0.17444444444444446,0.0,efficiency__001,efficiency,0.0,0.85,32.47,55.635416666666664,53.70434465798342,74.0,K_OO,304,53.017656500802566,22.0
0.1811111111111111,0.0,efficiency__001,efficiency,0.0,0.81,28.702222222222222,53.38321167883212,48.57472750785147,73.0,K_OO,305,46.945337620578776,21.0
0.19777777777777777,0.0,efficiency__001,efficiency,0.0,0.62,17.42111111111111,32.14666666666667,29.614617940199334,72.0,K_SS,301,28.873096446700508,20.0
